Geo Point;NOMLONG;LIGNE;RESEAU
48.8721014421, 2.40451494238;SAINT-FARGEAU;3b;METRO
48.8784252576, 2.33759508282;SAINT-GEORGES;12;METRO
48.8640865748, 2.38079798618;SAINT-MAUR;3;METRO
48.8531679849, 2.34328597892;SAINT-MICHEL;4;METRO
48.8415055224, 2.30794867934;VOLONTAIRES;12;METRO
48.8838092012, 2.30467444053;WAGRAM;3;METRO
48.8395165854, 2.30110751488;VAUGIRARD (ADOLPHE CHERIOU);12;METRO
48.8422184136, 2.32900892624;VAVIN;4;METRO
48.9307570033, 2.28417444828;LES COURTILLES-ASNIERES-GENNEVILLIERS;13;METRO
48.8643437787, 2.33012987711;TUILERIES;1;METRO
48.8697985565, 2.28533509469;VICTOR HUGO;2;METRO
48.8046881209, 2.3639531966;VILLEJUIF-LEO LAGRANGE;7;METRO
48.8811500285, 2.31517662622;VILLIERS;2;METRO
48.8811500285, 2.31517662622;VILLIERS;3;METRO
48.8814047322, 2.36521878185;LOUIS BLANC;7b;METRO
48.8530167679, 2.33550205309;MABILLON;10;METRO
48.9033300946, 2.30592414987;MAIRIE DE CLICHY;13;METRO
48.8241050307, 2.27304152514;MAIRIE D'ISSY;12;METRO
48.8628296728, 2.3368783976;PALAIS ROYAL-MUSEE DU LOUVRE;7;METRO
48.848474286, 2.39506230543;NATION;2;METRO
48.8450615799, 2.40128901983;PICPUS;6;METRO
48.8768063892, 2.39305609332;PLACE DES FETES;11;METRO
48.830927241, 2.3561219388;PLACE D'ITALIE;6;METRO
48.8760262116, 2.33788648907;NOTRE-DAME-DE-LORETTE;12;METRO
48.8978210671, 2.27980958669;PONT DE LEVALLOIS-BECON;3;METRO
48.8331629295, 2.40144805422;PORTE DE CHARENTON;8;METRO
48.846878238, 2.32679278504;SAINT-PLACIDE;4;METRO
48.8692241717, 2.3546037907;STRASBOURG-SAINT-DENIS;8;METRO
48.8771105118, 2.40672924554;PORTE DES LILAS;3b;METRO
48.823411629, 2.32557563621;PORTE D'ORLEANS;4;METRO
48.8554850504, 2.27010913894;RANELAGH;9;METRO
48.8389642807, 2.33075419209;RASPAIL;6;METRO
48.8673844729, 2.36426495043;REPUBLIQUE;5;METRO
48.8471287213, 2.38702524211;REUILLY-DIDEROT;8;METRO
48.8721523526, 2.33911503927;RICHELIEU-DROUOT;9;METRO
48.888267617, 2.37420401204;RIQUET;7;METRO
48.8822269008, 2.32127492677;ROME;2;METRO
48.8555509402, 2.32571242217;RUE DU BAC;12;METRO
48.9458456578, 2.36454176349;SAINT-DENIS-UNIVERSITE;13;METRO
48.8514417056, 2.3144081215;SAINT-FRANCOIS-XAVIER;13;METRO
48.8329008165, 2.33713519061;SAINT-JACQUES;6;METRO
48.9231037797, 2.28627957753;LES AGNETTES-ASNIERES-GENNEVILLIERS;13;METRO
48.8795512844, 2.35699516401;GARE DU NORD;4;METRO
48.8798501425, 2.35745934659;GARE DU NORD;5;METRO
48.8647940658, 2.29416201811;IENA;9;METRO
48.8461236669, 2.27771173983;JAVEL;10;METRO
48.8461511231, 2.3549179837;JUSSIEU;10;METRO
48.8437813048, 2.3243970124;MONTPARNASSE;4;METRO
48.8478956502, 2.26408203075;MICHEL-ANGE-AUTEUIL;9;METRO
48.8450581723, 2.26174512496;MICHEL-ANGE-MOLITOR;9;METRO
48.8852161821, 2.37966307748;LAUMIERE;5;METRO
48.8358634842, 2.35258892564;LES GOBELINS;7;METRO
48.8887060198, 2.28808363305;LOUISE MICHEL;3;METRO
48.8706670209, 2.32575263529;MADELEINE;14;METRO
48.8110991977, 2.38355147965;MAIRIE D'IVRY;7;METRO
48.8623480308, 2.33649646231;PALAIS ROYAL-MUSEE DU LOUVRE;1;METRO
48.84267682, 2.31281277347;PASTEUR;6;METRO
48.8684401633, 2.40156171274;PELLEPORT;3b;METRO
48.8848962552, 2.29772434648;PEREIRE-LEVALLOIS;3;METRO
48.8339363927, 2.31807828549;PERNETY;13;METRO
48.8489446451, 2.39587943519;NATION;9;METRO
48.8836149922, 2.32783955611;PLACE DE CLICHY;2;METRO
48.8709917839, 2.33198952268;OPERA;3;METRO
48.8318256496, 2.31412232347;PLAISANCE;13;METRO
48.8857931052, 2.2925823141;PORTE DE CHAMPERRET;3;METRO
48.819876221, 2.36453195175;PORTE DE CHOISY;7;METRO
48.8611688655, 2.36721086641;SAINT-SEBASTIEN FROISSART;8;METRO
48.8754744567, 2.3988675939;TELEGRAPHE;11;METRO
48.8666826802, 2.36154153207;TEMPLE;3;METRO
48.8324490991, 2.2880221411;PORTE DE VERSAILLES;12;METRO
48.8347851581, 2.40538321063;PORTE DOREE;8;METRO
48.8659067396, 2.33418954197;PYRAMIDES;14;METRO
48.8370451192, 2.37282572183;QUAI DE LA GARE;6;METRO
48.8695852435, 2.33621884752;QUATRE SEPTEMBRE;3;METRO
48.8670267876, 2.36424799375;REPUBLIQUE;3;METRO
48.8671116386, 2.36423494565;REPUBLIQUE;9;METRO
48.8598736244, 2.37191398009;RICHARD LENOIR;5;METRO
48.8717866021, 2.33903054672;RICHELIEU-DROUOT;8;METRO
48.8639744458, 2.27811255845;RUE DE LA POMPE (AVENUE GEORGES MANDEL);9;METRO
48.853718934, 2.33377613686;SAINT-GERMAIN-DES-PRES;4;METRO
48.838427297, 2.3609671677;SAINT-MARCEL;5;METRO
48.8574537227, 2.38071878586;VOLTAIRE (LEON BLUM);9;METRO
48.9065671464, 2.36592031967;FRONT POPULAIRE;12;METRO
48.8186764099, 2.3197403133;MAIRIE DE MONTROUGE;4;METRO
48.7687151253, 2.46456499321;CRETEIL-POINTE DU LAC;8;METRO
48.8488163725, 2.32125786291;VANEAU;10;METRO
48.827270836, 2.36803264776;OLYMPIADES;14;METRO
48.8264260109, 2.35724565076;TOLBIAC;7;METRO
48.7875627921, 2.36780410698;VILLEJUIF-LOUIS ARAGON;7;METRO
48.7964830828, 2.36826954143;VILLEJUIF-PAUL VAILLANT-COUTURIER;7;METRO
